Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,3,26.27,168.05,67168,30.48,26.23,699,,,
m,3,27.45,175.83,71492,31.89,27.87,623,,,
m,3,28.10,170.67,68143,32.33,27.12,566,,,
m,3,25.00,154.25,62762,29.18,24.99,459,,,
m,3,15.53,72.93,26471,17.84,15.09,248,,,
m,3,26.72,135.88,51517,31.21,25.90,474,,,
m,3,23.37,235.20,96918,25.92,22.64,530,,,
m,3,28.11,191.01,78867,32.48,27.07,497,,,
m,3,27.67,153.20,59753,32.35,26.73,559,,,
m,3,28.98,230.03,95726,32.99,28.87,781,,,
m,3,12.56,62.40,26828,15.73,15.33,235,,,
m,3,13.40,66.70,28852,17.31,17.13,239,,,
m,3,12.72,69.93,33740,16.92,17.78,221,,,
m,3,10.77,53.62,22906,14.06,13.46,186,,,
m,3,19.01,81.16,29989,22.41,19.27,275,,,
m,3,13.42,69.07,30478,17.04,16.86,243,,,
m,3,13.76,71.29,31807,17.81,17.58,258,,,
m,3,14.34,118.20,63612,19.22,18.94,378,,,
m,3,10.86,72.15,35325,14.30,14.49,231,,,
m,3,13.67,64.70,25384,16.86,15.39,205,,,
m,3,18.26,89.42,36173,22.46,20.40,296,,,
m,3,13.27,56.67,21033,16.11,14.49,205,,,
m,3,12.76,69.11,30902,16.57,16.38,227,,,
m,3,11.16,63.05,29328,14.66,15.10,222,,,
m,3,11.41,63.48,29713,15.00,15.74,196,,,
m,3,10.23,51.70,21907,13.26,12.81,164,,,
m,3,12.87,60.25,25709,16.12,16.03,231,,,
m,3,30.53,218.44,95045,35.40,30.82,582,,,
m,3,12.97,83.73,29514,14.06,11.58,300,,,
m,3,26.62,161.73,66183,30.86,24.83,501,,,
m,3,22.92,123.24,47147,26.40,22.42,435,,,
m,3,24.50,116.33,40871,26.93,22.72,498,,,
m,3,17.87,135.77,51472,19.60,17.21,447,,,
m,3,27.55,145.61,52558,30.50,26.07,462,,,
m,3,21.52,139.15,56639,24.82,20.76,461,,,
m,3,24.14,128.21,49395,28.00,23.63,427,,,
m,3,30.40,176.53,63231,33.10,25.76,539,,,
m,3,29.22,159.35,55449,31.56,24.94,686,,,
m,3,29.57,36.44,4807,32.22,25.43,207,,,
m,3,14.92,180.61,81366,17.33,16.09,375,,,
m,3,24.06,134.40,48508,26.85,22.82,463,,,
m,3,17.93,168.04,79947,21.00,19.76,459,,,
m,3,27.03,99.32,30627,28.30,23.59,404,,,
m,3,18.95,84.03,31724,22.84,21.88,275,,,
m,3,26.57,93.54,29965,29.14,24.87,401,,,
m,3,12.98,81.07,35744,16.71,16.08,289,,,
m,3,12.13,54.18,19821,14.54,12.96,200,,,
m,3,27.75,109.68,36538,30.69,26.54,403,,,
m,3,24.63,103.85,36597,27.97,25.04,455,,,
m,3,14.78,69.03,24791,17.39,15.18,263,,,
m,3,33.47,212.15,73709,37.52,33.29,874,,,
m,3,18.99,234.13,98211,21.53,21.47,541,,,
m,3,25.38,168.79,56982,28.06,24.84,544,,,
m,3,25.72,165.74,54714,27.70,23.96,462,,,
m,3,15.01,258.76,107019,15.91,16.16,500,,,
m,3,20.30,228.36,80465,21.15,19.89,505,,,
m,3,16.19,150.45,48877,16.65,13.65,350,,,
m,3,14.24,131.03,59483,17.12,14.33,382,,,
m,3,26.22,192.24,68606,29.54,27.10,423,,,
m,3,25.38,210.15,77530,27.71,25.46,619,,,
m,3,16.01,70.42,25939,19.06,17.16,320,,,
m,3,17.65,72.44,25822,20.70,18.56,237,,,
m,3,21.53,85.23,29900,25.34,23.08,305,,,
m,3,12.59,58.24,21431,15.34,13.74,271,,,
m,3,15.20,62.38,22629,18.28,16.59,294,,,
m,3,15.00,64.71,24677,18.32,16.99,244,,,
m,3,11.44,54.71,22126,14.53,13.02,182,,,
m,3,10.19,54.69,23661,13.20,12.80,190,,,
m,3,6.40,18.67,3527,6.62,4.80,94,,,
m,3,8.18,35.35,3855,8.65,6.25,114,,,
m,3,5.11,15.55,308,3.90,2.94,48,,,
m,3,4.74,19.84,2076,4.19,2.54,76,,,
m,3,14.76,29.56,4177,17.84,14.04,127,,,
m,3,17.88,74.88,20664,18.76,16.47,261,,,
m,3,14.94,58.83,15850,15.59,12.97,230,,,
m,3,18.73,81.24,22337,19.65,17.48,269,,,
m,3,12.83,54.10,13623,13.39,10.60,163,,,
m,3,8.76,33.25,7538,9.06,6.33,105,,,
m,3,9.10,35.06,7460,9.30,6.54,135,,,
m,3,11.69,49.58,11587,12.05,9.32,188,,,
m,3,10.27,43.13,9161,10.47,7.74,141,,,
m,3,10.33,43.97,9697,10.56,7.90,193,,,
m,3,13.28,55.03,13339,13.73,11.11,221,,,
m,3,14.03,110.42,55865,18.42,18.05,380,,,
m,3,15.88,84.20,36210,20.26,19.14,229,,,
