Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,7,28.40,38.83,5074,31.73,20.37,208,,,
m,7,27.37,156.43,55647,30.37,21.47,535,,,
m,7,30.67,181.46,63834,33.95,24.56,634,,,
m,7,24.89,180.77,63747,27.40,19.54,486,,,
m,7,29.96,260.94,92191,31.87,24.19,646,,,
m,7,38.35,232.26,88262,42.19,30.98,705,,,
m,7,40.57,274.17,97230,43.10,32.71,914,,,
m,7,31.00,217.42,74674,32.62,24.53,655,,,
m,7,35.05,233.52,80784,36.96,27.63,778,,,
m,7,35.12,255.99,90590,36.90,28.52,712,,,
m,7,23.45,79.30,23153,25.72,18.21,291,,,
m,7,18.46,75.30,22295,21.55,15.79,346,,,
m,7,18.40,71.18,21303,21.80,16.06,299,,,
m,7,17.55,75.62,21470,19.94,13.86,394,,,
m,7,25.82,182.36,66500,28.71,22.02,727,,,
m,7,34.60,123.13,38087,37.10,26.44,418,,,
m,7,40.67,208.25,71752,43.10,29.10,632,,,
m,7,22.96,151.19,46283,22.84,16.73,535,,,
m,7,19.58,229.58,56867,16.74,15.49,502,,,
m,7,30.62,123.22,37262,32.04,23.16,458,,,
m,7,21.19,107.30,36390,25.04,18.79,438,,,
m,7,30.75,120.13,37933,33.31,23.72,494,,,
m,7,25.02,130.65,41384,26.58,18.22,393,,,
m,7,23.11,120.51,39577,25.43,17.84,430,,,
m,7,27.77,153.62,54814,31.34,23.08,521,,,
m,7,27.28,154.58,52017,30.05,22.04,576,,,
m,7,25.62,146.69,49541,27.84,19.47,486,,,
m,7,22.13,135.84,46332,24.51,17.84,411,,,
m,7,24.76,128.64,44055,27.62,20.06,695,,,
m,7,24.34,106.24,32542,26.49,18.53,473,,,
m,7,23.52,121.03,41484,25.61,18.84,425,,,
m,7,22.24,123.00,40458,24.32,16.84,429,,,
m,7,18.91,117.17,39533,20.35,14.52,321,,,
m,7,160.03,951.84,436626,208.48,211.81,2998,,,
m,7,28.03,130.82,41473,29.97,20.79,492,,,
m,7,27.34,142.38,46000,29.15,20.43,503,,,
m,7,20.38,102.79,40835,23.30,18.54,400,,,
m,7,23.64,99.28,29661,25.44,17.58,349,,,
m,7,30.93,138.87,44128,33.54,24.34,489,,,
m,7,29.13,135.25,42766,31.17,21.63,434,,,
m,7,144.59,780.83,378806,202.48,241.68,3103,,,
m,7,27.78,129.03,41339,30.29,21.83,423,,,
m,7,31.16,173.51,60889,35.01,26.15,625,,,
m,7,23.46,97.22,28906,25.58,17.81,348,,,
m,7,21.19,95.78,31144,24.05,16.40,302,,,
m,7,16.39,90.77,27528,18.45,12.27,309,,,
m,7,17.37,75.25,22287,19.45,12.73,227,,,
m,7,19.18,102.38,34643,22.35,16.09,313,,,
m,7,19.21,96.91,32485,22.51,16.42,312,,,
m,7,16.68,86.81,28849,20.20,15.40,341,,,
m,7,21.73,108.45,36575,24.87,18.03,378,,,
m,7,17.48,94.08,34296,22.09,17.97,318,,,
m,7,17.49,75.82,24911,21.82,18.45,260,,,
m,7,17.30,116.59,41809,21.14,16.87,296,,,
m,7,20.10,101.93,36414,25.02,20.14,388,,,
m,7,17.72,82.49,28012,21.94,17.21,238,,,
m,7,16.97,79.80,26977,21.12,16.71,274,,,
m,7,23.82,171.91,79228,30.94,26.45,565,,,
m,7,20.27,76.46,24068,23.85,17.58,335,,,
m,7,19.97,93.93,30640,23.10,16.53,356,,,
m,7,36.42,195.50,73853,40.94,28.89,670,,,
m,7,22.62,130.03,56037,29.25,24.88,374,,,
m,7,31.59,186.69,67168,35.75,26.55,703,,,
m,7,33.33,196.20,71492,37.75,28.46,623,,,
m,7,33.47,188.31,68143,37.58,27.34,581,,,
m,7,31.01,174.42,62762,34.92,25.32,602,,,
m,7,19.76,85.14,26471,22.20,15.41,248,,,
m,7,32.00,150.41,51517,36.26,26.07,635,,,
m,7,28.94,266.71,96918,31.16,23.60,716,,,
m,7,33.51,210.94,78867,37.78,27.55,651,,,
m,7,32.84,168.74,59753,37.26,26.77,734,,,
m,7,35.54,257.99,95726,39.25,29.48,778,,,
m,7,19.74,84.09,26828,22.96,16.48,345,,,
m,7,20.77,88.60,28852,24.80,18.56,349,,,
m,7,19.50,93.06,33740,24.59,19.89,268,,,
m,7,17.16,74.55,22906,20.58,14.91,271,,,
m,7,24.50,94.33,29989,27.71,19.32,366,,,
m,7,20.85,91.85,30478,24.60,18.04,304,,,
m,7,21.18,94.07,31807,25.31,19.14,372,,,
m,7,21.79,154.98,63612,27.04,20.65,523,,,
m,7,18.22,103.82,35325,21.99,16.73,425,,,
m,7,19.70,82.11,25384,22.71,16.37,433,,,
m,7,24.76,107.44,36173,28.59,20.90,383,,,
m,7,19.39,72.50,21033,21.80,15.00,330,,,
m,7,19.68,92.09,30902,23.61,18.03,341,,,
m,7,18.56,89.70,29328,22.44,17.32,313,,,
m,7,19.00,89.97,29713,23.19,18.22,338,,,
m,7,17.27,75.11,21907,20.22,14.47,278,,,
m,7,20.29,81.08,25709,23.74,17.39,291,,,
m,7,37.88,246.28,95045,42.03,31.81,926,,,
m,7,17.10,101.40,29514,17.85,12.39,309,,,
m,7,30.73,175.56,66183,34.76,24.76,531,,,
m,7,27.82,137.97,47147,31.32,22.64,445,,,
m,7,29.97,130.46,40871,31.95,22.84,498,,,
m,7,23.78,161.91,51472,24.59,17.88,447,,,
m,7,33.78,163.20,52558,36.00,26.34,597,,,
m,7,26.31,156.75,56639,29.62,20.97,461,,,
m,7,29.20,143.06,49395,32.98,23.76,525,,,
m,7,36.73,195.98,63231,38.21,25.51,700,,,
m,7,34.78,175.58,55449,36.20,24.81,706,,,
m,7,36.85,38.26,4807,39.11,24.65,260,,,
m,7,22.78,236.91,81366,23.65,17.61,619,,,
m,7,31.31,156.26,48508,32.75,22.91,602,,,
m,7,24.02,201.73,79947,26.62,20.90,519,,,
m,7,33.55,111.69,30627,33.64,23.37,404,,,
m,7,29.06,107.77,31724,30.84,22.19,297,,,
m,7,34.81,108.14,29965,35.22,24.64,471,,,
m,7,21.08,111.52,35744,24.13,17.13,315,,,
m,7,18.88,72.87,19821,20.23,13.58,318,,,
m,7,35.65,125.64,36538,36.95,26.37,474,,,
m,7,33.21,122.59,36597,34.75,25.20,546,,,
m,7,21.93,88.40,24791,23.19,15.25,259,,,
m,7,42.26,240.92,73709,44.91,34.04,874,,,
m,7,28.89,301.39,98211,29.83,24.14,787,,,
m,7,32.64,194.74,56982,34.54,25.70,630,,,
m,7,31.45,185.95,54714,32.88,24.44,589,,,
m,7,20.96,322.31,107019,20.45,19.11,618,,,
m,7,27.78,275.31,80465,27.34,21.83,762,,,
m,7,20.75,176.56,48877,20.48,14.50,404,,,
m,7,18.68,157.29,59483,21.13,15.07,406,,,
m,7,35.63,228.53,68606,37.60,28.14,691,,,
m,7,34.16,248.83,77530,35.33,26.93,753,,,
m,7,22.39,86.68,25939,24.89,17.70,363,,,
m,7,24.41,87.90,25822,26.74,18.99,353,,,
m,7,29.49,101.80,29900,32.22,23.36,482,,,
m,7,19.01,76.54,21431,21.09,14.42,313,,,
m,7,21.49,77.45,22629,24.05,17.06,313,,,
m,7,21.98,82.19,24677,24.64,17.61,319,,,
m,7,16.41,70.73,22126,19.69,13.97,221,,,
m,7,16.72,78.34,23661,19.89,14.62,345,,,
m,7,12.58,34.37,3527,11.52,6.66,128,,,
m,7,13.60,53.48,3855,12.78,6.91,141,,,
m,7,32.03,57.46,308,23.41,28.45,151,,,
m,7,18.73,72.02,2076,11.51,12.48,150,,,
m,7,21.14,35.80,4177,23.08,13.23,199,,,
m,7,23.89,89.10,20664,25.03,16.40,324,,,
m,7,20.21,71.18,15850,20.96,13.03,259,,,
m,7,25.00,96.44,22337,26.23,17.52,309,,,
m,7,17.45,66.54,13623,17.91,10.96,276,,,
m,7,13.15,46.31,7538,12.80,7.04,140,,,
m,7,13.43,47.82,7460,13.05,7.45,201,,,
m,7,16.22,62.41,11587,16.42,9.76,197,,,
m,7,14.72,56.44,9161,14.45,8.31,155,,,
m,7,14.68,57.16,9697,14.47,8.67,193,,,
m,7,18.09,67.54,13339,18.50,11.34,221,,,
m,7,21.54,145.87,55865,26.05,19.71,514,,,
m,7,23.39,106.89,36210,27.38,20.09,433,,,
m,7,21.06,96.56,32213,24.61,17.82,312,,,
m,7,18.09,92.55,31357,21.90,16.46,298,,,
m,7,17.90,107.91,40126,22.44,18.34,281,,,
m,7,18.90,102.34,38768,23.71,19.32,318,,,
m,7,19.64,110.75,42941,24.91,20.65,362,,,
m,7,25.79,126.03,37737,27.42,21.04,465,,,
m,7,34.91,192.06,57507,35.92,26.32,631,,,
m,7,33.86,203.78,61172,35.28,25.78,984,,,
m,7,36.32,228.90,70299,36.77,28.76,771,,,
m,7,42.79,222.29,67776,44.53,33.60,904,,,
m,7,24.73,137.54,38418,24.86,17.86,489,,,
m,7,31.74,158.28,44731,33.31,24.29,559,,,
m,7,26.18,163.15,46878,26.27,20.07,577,,,
m,7,25.43,203.72,63965,26.57,20.38,501,,,
m,7,29.79,211.37,62651,29.33,23.74,752,,,
m,7,21.85,92.64,27441,24.64,17.34,371,,,
m,7,22.94,83.88,22899,24.96,17.64,441,,,
m,7,21.42,91.85,27053,24.40,17.43,265,,,
m,7,20.73,80.49,22438,22.46,15.85,330,,,
m,7,27.09,107.41,31773,29.10,20.57,390,,,
m,7,26.95,94.44,27049,28.86,20.34,341,,,
m,7,29.99,120.41,35791,31.66,22.35,512,,,
m,7,21.78,91.92,27304,24.51,17.66,395,,,
m,7,29.86,132.52,42170,33.05,24.68,587,,,
m,7,30.59,134.93,43402,33.27,23.48,527,,,
m,7,16.60,81.11,21789,16.96,10.71,296,,,
m,7,21.97,84.54,24540,23.45,15.03,295,,,
m,7,16.22,124.61,42145,18.84,13.72,333,,,
m,7,14.95,65.18,16563,16.85,11.53,203,,,
m,7,15.49,101.80,31594,17.98,13.17,389,,,
m,7,14.19,81.33,22462,16.03,10.90,337,,,
m,7,16.63,78.24,20605,17.12,10.86,262,,,
m,7,24.16,118.28,36460,25.72,17.58,357,,,
m,7,25.12,33.61,4416,28.02,16.97,261,,,
m,7,14.99,109.82,38875,16.28,11.19,298,,,
m,7,27.13,147.69,43813,28.31,19.75,485,,,
m,7,19.21,150.60,40717,18.77,13.11,335,,,
m,7,31.94,196.34,70174,35.64,24.65,513,,,
m,7,30.44,167.08,56563,33.82,24.17,457,,,
m,7,24.66,126.16,40872,27.36,18.84,434,,,
m,7,19.80,137.26,36183,18.85,15.62,388,,,
m,7,25.24,111.23,33895,26.65,18.49,443,,,
m,7,27.97,129.11,40161,29.59,21.34,444,,,
m,7,32.55,161.35,52268,34.69,24.23,442,,,
m,7,28.80,114.67,33857,29.81,20.74,494,,,
