Pop1,Latitude,Longitude,Pop2,Latitude,Longitude,Distance,Fst,
IE-Down,54.3277000,-5.7158000,PT-Cast,39.7010980,-7.3040680,1010.211037,0.26435,
PT-Cast,39.7010980,-7.3040680,IE-Down,54.3277000,-5.7158000,1010.211037,0.26435,
SE-Halm,56.6732080,12.8572190,WL-Angl,53.2143000,-4.3661000,1213.727728,0.263012,
WL-Angl,53.2143000,-4.3661000,SE-Halm,56.6732080,12.8572190,1213.727728,0.263012,
SE-Nass,57.6520910,14.6974190,WL-Angl,53.2143000,-4.3661000,1352.060642,0.262713,
WL-Angl,53.2143000,-4.3661000,SE-Nass,57.6520910,14.6974190,1352.060642,0.262713,
IS-Horn,64.3858000,-15.2892000,TN,36.7736000,8.6848000,2513.987444,0.262446,
TN,36.7736000,8.6848000,IS-Horn,64.3858000,-15.2892000,2513.987444,0.262446,
ES-Sal,40.9777810,-5.9651370,IE-Down,54.3277000,-5.7158000,917.9377929,0.261103,
IE-Down,54.3277000,-5.7158000,ES-Sal,40.9777810,-5.9651370,917.9377929,0.261103,
ES-Cuen,40.0202690,-1.8215450,RS,44.7317030,20.4075950,1569.011251,0.260653,
RS,44.7317030,20.4075950,ES-Cuen,40.0202690,-1.8215450,1569.011251,0.260653,
FR-Port,43.0036000,6.3944000,RS,44.7317030,20.4075950,975.3281196,0.259068,
RS,44.7317030,20.4075950,FR-Port,43.0036000,6.3944000,975.3281196,0.259068,
ES-Cuen,40.0202690,-1.8215450,IS-Rey,64.1000000,-21.8000000,2127.72551,0.258416,
IS-Rey,64.1000000,-21.8000000,ES-Cuen,40.0202690,-1.8215450,2127.72551,0.258416,
IE-Down,54.3277000,-5.7158000,IS-Rey,64.1000000,-21.8000000,1289.353686,0.258188,
IS-Rey,64.1000000,-21.8000000,IE-Down,54.3277000,-5.7158000,1289.353686,0.258188,
ES-Cuen,40.0202690,-1.8215450,SE-Karl,59.4013320,13.5125290,1699.17368,0.257722,
SE-Karl,59.4013320,13.5125290,ES-Cuen,40.0202690,-1.8215450,1699.17368,0.257722,
DK,56.2639000,9.5018000,ES-Cuen,40.0202690,-1.8215450,1364.799985,0.25657,
ES-Cuen,40.0202690,-1.8215450,DK,56.2639000,9.5018000,1364.799985,0.25657,
DK,56.2639000,9.5018000,RS,44.7317030,20.4075950,1076.374564,0.256253,
