Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,2,19.93,44.93,5751,25.17,24.15,260,,,
m,2,9.49,13.46,1340,10.17,8.72,86,,,
m,2,13.39,20.90,1787,14.52,13.89,129,,,
m,2,11.61,18.69,1620,12.55,11.39,118,,,
m,2,8.93,12.05,1252,9.60,7.86,71,,,
m,2,5.39,6.23,466,5.67,3.74,45,,,
m,2,6.41,7.50,725,6.86,4.84,42,,,
m,2,8.59,10.02,996,9.15,7.21,57,,,
m,2,8.24,13.87,1390,8.89,7.06,76,,,
m,2,7.31,8.73,886,7.85,5.86,66,,,
m,2,8.41,10.19,1091,9.03,7.04,54,,,
m,2,20.01,33.91,4822,24.65,22.74,173,,,
m,2,6.09,7.18,542,6.51,4.49,46,,,
m,2,7.59,16.85,2329,8.03,6.22,74,,,
m,2,10.55,17.66,1878,11.46,9.90,90,,,
m,2,10.89,16.32,1518,11.70,10.53,94,,,
m,2,8.78,16.21,1557,9.40,7.90,94,,,
m,2,11.62,22.54,2497,12.31,11.22,106,,,
m,2,17.40,36.44,4368,21.06,20.48,198,,,
m,2,8.40,10.20,1028,8.97,7.09,63,,,
m,2,8.92,11.59,1136,9.61,7.79,59,,,
m,2,7.81,9.97,975,8.31,6.47,60,,,
m,2,8.79,10.70,1154,9.42,7.58,58,,,
m,2,19.71,32.67,4132,24.31,22.30,172,,,
m,2,10.02,12.56,1380,10.69,9.09,81,,,
m,2,14.16,21.42,2460,15.18,14.80,139,,,
m,2,9.01,20.96,2894,9.51,8.15,100,,,
m,2,7.59,8.98,837,8.04,6.34,53,,,
m,2,7.70,9.50,980,8.23,6.35,56,,,
m,2,6.13,8.39,787,6.47,4.70,49,,,
m,2,4.87,5.32,479,5.07,3.36,33,,,
m,2,9.39,12.74,1329,10.06,8.49,74,,,
m,2,14.50,21.28,2631,15.72,15.42,135,,,
m,2,9.26,16.13,1918,9.99,8.28,92,,,
m,2,22.90,46.03,5258,29.63,29.61,235,,,
m,2,20.18,37.38,7017,26.65,25.34,163,,,
m,2,17.58,28.66,4549,21.54,18.96,176,,,
m,2,19.76,33.65,5088,24.91,22.38,173,,,
m,2,24.76,37.50,6368,33.86,26.14,226,,,
m,2,13.59,23.41,3341,15.68,15.51,121,,,
m,2,19.87,30.87,6054,24.98,19.73,217,,,
m,2,17.59,27.31,3903,21.39,18.24,146,,,
