Pop,Longitude,Latitude,Pop,Longitude,Latitude,Distance,Fst,Group
RU-Tall,24.7536,59.437,SE-Nass,14.6974,57.6521,382.6150563,0.407661,N
SE-Nass,14.6974,57.6521,RU-Tall,24.7536,59.437,382.6150563,0.407661,N
GR-Vern,20.7643,39.5706,SE-Nass,14.6974,57.6521,1278.720569,0.407155,N
SE-Nass,14.6974,57.6521,GR-Vern,20.7643,39.5706,1278.720569,0.407155,N
FR-Ver,5.5301,43.5986,IT-Cal,15.65,38.1144,649.95645,0.406995,N
IT-Cal,15.65,38.1144,FR-Ver,5.5301,43.5986,649.95645,0.406995,N
IT-Abru,13.9275,42.4576,RU-Tall,24.7536,59.437,1260.79649,0.406544,N
RU-Tall,24.7536,59.437,IT-Abru,13.9275,42.4576,1260.79649,0.406544,N
PL-Dzie,14.99795,52.731386,SE-Nass,14.6974,57.6521,340.2668881,0.405986,SN
SE-Nass,14.6974,57.6521,PL-Dzie,14.99795,52.731386,340.2668881,0.405986,NS
IT-Abru,13.9275,42.4576,RU-Vol,44.4525,48.681,1526.58028,0.40368,N
RU-Vol,44.4525,48.681,IT-Abru,13.9275,42.4576,1526.58028,0.40368,N
RO-Mar,22.5417,45.3986,SE-Nass,14.6974,57.6521,910.0803588,0.403356,N
SE-Nass,14.6974,57.6521,RO-Mar,22.5417,45.3986,910.0803588,0.403356,N
EN-Kent,0.4527,51.2468,IT-Cal,15.65,38.1144,1170.500761,0.401931,N
IT-Cal,15.65,38.1144,EN-Kent,0.4527,51.2468,1170.500761,0.401931,N
FR-Ser,2.3373,45.3602,IT-Cal,15.65,38.1144,847.9280802,0.400903,N
IT-Cal,15.65,38.1144,FR-Ser,2.3373,45.3602,847.9280802,0.400903,N
DE-Bad,11.9383,52.9546,PL-Sier,17.474509,54.09711,240.6767411,0.399806,NS
PL-Sier,17.474509,54.09711,DE-Bad,11.9383,52.9546,240.6767411,0.399806,NS
IT-Abru,13.9275,42.4576,PL-Dzie,14.99795,52.731386,711.7307011,0.397847,NS
PL-Dzie,14.99795,52.731386,IT-Abru,13.9275,42.4576,711.7307011,0.397847,NS
FR-Ser,2.3373,45.3602,SE-Nass,14.6974,57.6521,998.6785431,0.397455,N
SE-Nass,14.6974,57.6521,FR-Ser,2.3373,45.3602,998.6785431,0.397455,N
PL-Ryj,18.945785,53.853784,SE-Nass,14.6974,57.6521,310.0316246,0.396683,SN
SE-Nass,14.6974,57.6521,PL-Ryj,18.945785,53.853784,310.0316246,0.396683,NS
IT-Abru,13.9275,42.4576,RO-Mar,22.5417,45.3986,474.1475591,0.395377,N
RO-Mar,22.5417,45.3986,IT-Abru,13.9275,42.4576,474.1475591,0.395377,N
ES-Ast,-6.5,43.17,SE-Karl,15.5861,56.1603,1324.114639,0.394445,N
SE-Karl,15.5861,56.1603,ES-Ast,-6.5,43.17,1324.114639,0.394445,N
IT-Cal,15.65,38.1144,SE-Fal,15.6275,60.606,1554.351963,0.39424,N
SE-Fal,15.6275,60.606,IT-Cal,15.65,38.1144,1554.351963,0.39424,N
EN-Shro,-2.9984,52.49,ES-Ast,-6.5,43.17,664.0514461,0.394134,N
ES-Ast,-6.5,43.17,EN-Shro,-2.9984,52.49,664.0514461,0.394134,N
IT-Abru,13.9275,42.4576,PL-Ryj,18.945785,53.853784,820.3243764,0.394055,NS
PL-Ryj,18.945785,53.853784,IT-Abru,13.9275,42.4576,820.3243764,0.394055,NS
IT-Abru,13.9275,42.4576,PL-Sier,17.474509,54.09711,820.4909967,0.393831,NS
PL-Sier,17.474509,54.09711,IT-Abru,13.9275,42.4576,820.4909967,0.393831,NS
GR-Vern,20.7643,39.5706,IT-Abru,13.9275,42.4576,408.3515523,0.389196,N
IT-Abru,13.9275,42.4576,GR-Vern,20.7643,39.5706,408.3515523,0.389196,N
GR-Mac,22.4511,40.9469,IT-Abru,13.9275,42.4576,451.7969579,0.388938,N
IT-Abru,13.9275,42.4576,GR-Mac,22.4511,40.9469,451.7969579,0.388938,N
FR-Ver,5.5301,43.5986,PL-Olk,19.576457,50.216353,803.5028038,0.388759,NS
PL-Olk,19.576457,50.216353,FR-Ver,5.5301,43.5986,803.5028038,0.388759,NS
PL-Ostr,19.958726,53.741945,SE-Nass,14.6974,57.6521,338.9230789,0.387724,SN
SE-Nass,14.6974,57.6521,PL-Ostr,19.958726,53.741945,338.9230789,0.387724,NS
ES-Ast,-6.5,43.17,IT-Abru,13.9275,42.4576,1034.179346,0.386935,N
IT-Abru,13.9275,42.4576,ES-Ast,-6.5,43.17,1034.179346,0.386935,N
IT-Abru,13.9275,42.4576,PL-Ostr,19.958726,53.741945,827.2887651,0.386038,NS
PL-Ostr,19.958726,53.741945,IT-Abru,13.9275,42.4576,827.2887651,0.386038,NS
IT-Abru,13.9275,42.4576,RU-Vor,39.2089,51.6755,1340.169815,0.384443,N
RU-Vor,39.2089,51.6755,IT-Abru,13.9275,42.4576,1340.169815,0.384443,N
PL-Sier,17.474509,54.09711,RU-Vol,44.4525,48.681,1213.520301,0.384087,SN
RU-Vol,44.4525,48.681,PL-Sier,17.474509,54.09711,1213.520301,0.384087,NS
GR-Mac,22.4511,40.9469,PL-Sier,17.474509,54.09711,937.4045085,0.383886,NS
PL-Sier,17.474509,54.09711,GR-Mac,22.4511,40.9469,937.4045085,0.383886,NS
FR-Ver,5.5301,43.5986,SE-Karl,15.5861,56.1603,974.5056391,0.383628,N
SE-Karl,15.5861,56.1603,FR-Ver,5.5301,43.5986,974.5056391,0.383628,N
EN-Shro,-2.9984,52.49,FR-Ver,5.5301,43.5986,728.8405572,0.383192,N
FR-Ver,5.5301,43.5986,EN-Shro,-2.9984,52.49,728.8405572,0.383192,N
RU-Vor,39.2089,51.6755,SE-Nass,14.6974,57.6521,1055.779934,0.38296,N
SE-Nass,14.6974,57.6521,RU-Vor,39.2089,51.6755,1055.779934,0.38296,N
IT-Cal,15.65,38.1144,PL-Bob,16.567544,53.923758,1093.417716,0.382533,NS
PL-Bob,16.567544,53.923758,IT-Cal,15.65,38.1144,1093.417716,0.382533,NS
DE-Bad,11.9383,52.9546,RU-Vol,44.4525,48.681,1436.921103,0.380124,N
RU-Vol,44.4525,48.681,DE-Bad,11.9383,52.9546,1436.921103,0.380124,N
